project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day,formwork_type,area_sqm,quantity,cost_per_sqm,total_cost,optimized_quantity,optimized_cost,cost_saving
P097,32,Column,285,6,284,Timber,76.66,8,600,367968.0,7,321972.0,45996.0
P092,34,Beam,38,8,40,Aluminum,48.63,22,1100,1176846.0000000002,20,1069860.0,106986.00000000023
P008,7,Slab,197,6,202,Timber,95.75,17,600,976650.0,15,861750.0,114900.0
P034,10,Beam,280,4,278,Timber,75.48,5,600,226440.00000000003,4,181152.0,45288.00000000003
P035,17,Slab,275,8,274,Steel,44.17,24,850,901067.9999999999,16,600712.0,300355.9999999999
P096,30,Column,174,9,178,Timber,19.2,14,600,161280.0,11,126720.0,34560.0
P088,21,Slab,305,3,310,Timber,54.43,5,600,163290.0,4,130632.0,32658.0
P078,13,Wall,44,6,42,Steel,55.35,6,850,282285.0,5,235237.5,47047.5
P032,1,Wall,154,7,152,Aluminum,59.55,13,1100,851565.0,10,655050.0,196515.0
P046,1,Beam,153,3,153,Timber,71.42,5,600,214260.0,4,171408.0,42852.0
P016,33,Column,291,7,291,Steel,33.79,19,850,545708.5,17,488265.49999999994,57443.00000000006
P068,25,Column,142,6,145,Aluminum,10.22,19,1100,213598.0,12,134904.00000000003,78693.99999999997
P037,26,Beam,256,4,254,Aluminum,83.16,6,1100,548856.0,5,457379.99999999994,91476.00000000006
P054,13,Wall,312,9,312,Timber,84.12,16,600,807552.0,13,656136.0,151416.0
P085,28,Slab,134,9,138,Aluminum,92.05,22,1100,2227610.0,20,2025100.0,202510.0
P014,33,Beam,32,3,37,Timber,97.21,14,600,816563.9999999999,13,758238.0,58325.99999999988
P095,30,Slab,26,3,29,Aluminum,24.33,17,1100,454970.99999999994,14,374682.0,80288.99999999994
P055,8,Slab,255,6,254,Aluminum,41.85,13,1100,598455.0000000001,11,506385.0,92070.00000000012
P048,1,Column,223,9,221,Aluminum,86.62,7,1100,666974.0,5,476410.0,190564.0
P082,12,Wall,56,9,56,Timber,94.06,12,600,677232.0,8,451488.0,225744.0
P007,5,Slab,293,8,292,Aluminum,11.31,18,1100,223938.0,13,161733.0,62205.0
P074,24,Wall,125,6,123,Steel,44.88,20,850,762960.0,18,686664.0,76296.0
P007,6,Column,230,6,233,Steel,20.2,10,850,171700.0,8,137360.0,34340.0
P033,25,Beam,53,9,51,Aluminum,80.96,13,1100,1157728.0,11,979615.9999999999,178112.00000000012
P023,1,Beam,101,5,101,Timber,77.24,8,600,370752.0,7,324407.99999999994,46344.00000000006
P085,25,Column,334,4,333,Steel,77.89,23,850,1522749.5,15,993097.4999999999,529652.0000000001
P019,1,Column,292,8,290,Aluminum,45.12,19,1100,943008.0,14,694848.0,248160.0
P019,32,Slab,357,4,355,Steel,46.56,15,850,593640.0000000001,13,514488.0,79152.00000000012
P036,3,Column,267,9,271,Steel,33.57,14,850,399483.0,12,342414.0,57069.0
P029,19,Beam,283,6,286,Steel,42.48,12,850,433296.0,11,397188.0,36108.0
P060,29,Wall,2,5,4,Steel,98.48,7,850,585956.0,6,502248.0,83708.0
P082,2,Wall,22,9,20,Steel,14.19,23,850,277414.5,21,253291.5,24123.0
P002,9,Wall,66,6,68,Aluminum,39.16,8,1100,344607.99999999994,6,258455.99999999997,86151.99999999997
P001,17,Wall,212,6,214,Steel,81.09,17,850,1171750.5,13,896044.5000000001,275705.9999999999
P047,17,Column,236,4,235,Aluminum,44.41,13,1100,635062.9999999999,9,439658.99999999994,195403.99999999994
P069,12,Column,17,9,18,Steel,95.5,24,850,1948200.0,17,1379975.0,568225.0
P020,20,Wall,14,5,17,Timber,39.89,17,600,406878.0,11,263274.0,143604.0
P011,3,Column,7,4,9,Aluminum,86.48,13,1100,1236664.0,10,951280.0000000001,285383.9999999999
P002,4,Slab,335,6,334,Timber,83.36,24,600,1200384.0,17,850271.9999999999,350112.0000000001
P067,17,Column,222,7,225,Timber,10.83,23,600,149454.0,15,97470.0,51984.0
P087,15,Slab,104,3,108,Steel,46.27,20,850,786590.0000000001,15,589942.5,196647.50000000012
P012,33,Slab,1,9,1,Steel,35.26,22,850,659361.9999999999,16,479536.0,179825.99999999988
P020,16,Column,287,8,289,Steel,53.16,23,850,1039277.9999999999,20,903719.9999999999,135558.0
P005,11,Wall,247,6,248,Steel,51.65,21,850,921952.4999999999,14,614635.0,307317.4999999999
P037,20,Slab,91,8,91,Steel,91.5,16,850,1244400.0,14,1088850.0,155550.0
P038,24,Column,314,5,317,Timber,26.52,15,600,238680.0,10,159120.0,79560.0
P094,16,Beam,312,9,314,Timber,26.4,21,600,332640.0,16,253440.0,79200.0
P009,30,Wall,214,7,219,Steel,19.73,10,850,167705.0,9,150934.5,16770.5
P098,34,Beam,43,8,47,Steel,76.48,19,850,1235152.0,15,975120.0,260032.0
P053,1,Slab,74,9,76,Aluminum,92.61,6,1100,611226.0,5,509355.0,101871.0
P044,24,Beam,242,8,243,Aluminum,43.17,18,1100,854766.0000000001,12,569844.0,284922.0000000001
P099,24,Column,49,5,47,Timber,15.56,7,600,65352.0,6,56016.0,9336.0
P086,9,Wall,364,6,365,Timber,24.04,16,600,230784.0,15,216359.99999999997,14424.00000000003
P024,22,Slab,316,6,320,Timber,19.21,10,600,115260.00000000001,7,80682.0,34578.000000000015
P081,12,Column,222,3,221,Steel,63.31,9,850,484321.49999999994,8,430508.0,53813.49999999994
P074,17,Wall,350,5,349,Timber,35.41,11,600,233706.0,8,169967.99999999997,63738.00000000003
P030,25,Slab,144,7,148,Timber,90.77,10,600,544620.0,9,490157.99999999994,54462.00000000006
P059,28,Slab,329,3,333,Timber,24.61,23,600,339618.0,18,265788.0,73830.0
P087,15,Slab,209,9,213,Aluminum,93.71,18,1100,1855458.0,16,1649296.0,206162.0
P096,30,Slab,99,5,100,Timber,39.95,22,600,527340.0,14,335580.00000000006,191759.99999999994
P081,27,Beam,188,6,189,Timber,88.06,18,600,951048.0,13,686868.0,264180.0
P081,22,Beam,114,3,119,Aluminum,95.41,12,1100,1259412.0,8,839608.0,419804.0
P014,10,Beam,175,6,180,Timber,98.77,18,600,1066716.0,16,948192.0,118524.0
P009,31,Slab,271,4,272,Steel,82.32,23,850,1609356.0,15,1049580.0,559776.0
P040,27,Beam,63,4,68,Aluminum,19.15,7,1100,147454.99999999997,6,126389.99999999999,21064.999999999985
P066,12,Wall,284,3,285,Timber,14.98,19,600,170772.0,16,143808.0,26964.0
P025,31,Slab,225,3,229,Aluminum,76.58,20,1100,1684760.0,15,1263570.0,421190.0
P073,32,Wall,161,5,162,Timber,90.73,19,600,1034322.0000000001,15,816570.0,217752.00000000012
P022,32,Wall,36,9,38,Timber,24.95,18,600,269460.0,12,179640.0,89820.0
P004,21,Beam,141,7,146,Aluminum,94.7,19,1100,1979230.0,12,1250040.0,729190.0
P026,10,Slab,318,7,321,Steel,64.92,11,850,607002.0,8,441456.0,165546.0
P058,16,Beam,196,4,199,Aluminum,21.16,9,1100,209484.0,7,162932.0,46552.0
P029,7,Beam,151,4,151,Steel,25.03,13,850,276581.5,10,212755.0,63826.5
P098,4,Beam,269,4,268,Steel,15.94,20,850,270980.0,14,189686.0,81294.0
P087,27,Slab,344,6,343,Aluminum,22.89,6,1100,151074.0,4,100716.0,50358.0
P037,25,Slab,40,7,43,Timber,75.89,11,600,500874.0,7,318738.0,182136.0
P075,31,Beam,238,3,242,Steel,29.69,16,850,403784.0,13,328074.5,75709.5
P070,11,Wall,222,4,226,Aluminum,60.55,20,1100,1332100.0,13,865865.0,466235.0
P018,20,Wall,281,8,286,Timber,74.9,8,600,359520.0,5,224700.0,134820.0
P085,17,Slab,225,5,228,Timber,90.57,6,600,326052.0,6,326052.0,0.0
P042,11,Column,154,9,159,Timber,63.09,21,600,794934.0000000001,13,492102.00000000006,302832.00000000006
P100,30,Beam,280,3,280,Aluminum,61.27,21,1100,1415337.0,14,943558.0000000001,471778.9999999999
P041,22,Beam,353,9,358,Aluminum,92.15,7,1100,709555.0000000001,6,608190.0000000001,101365.0
P038,27,Column,39,3,40,Timber,36.54,20,600,438480.0,15,328860.0,109620.0
P034,4,Slab,217,3,220,Timber,28.33,9,600,152981.99999999997,9,152981.99999999997,0.0
P017,16,Wall,244,7,248,Timber,88.55,11,600,584430.0,10,531300.0,53130.0
P037,16,Slab,109,4,112,Timber,16.71,17,600,170442.0,14,140364.0,30078.0
P025,21,Wall,61,5,66,Aluminum,27.07,13,1100,387101.0,9,267993.0,119108.0
P076,26,Wall,198,9,198,Timber,47.01,12,600,338472.0,10,282060.0,56412.0
P087,19,Slab,276,6,277,Steel,42.51,5,850,180667.5,4,144534.0,36133.5
P086,17,Beam,172,5,177,Steel,73.55,8,850,500140.0,7,437622.5,62517.5
P085,26,Beam,272,5,271,Aluminum,18.26,11,1100,220946.00000000003,9,180774.0,40172.00000000003
P027,22,Beam,271,8,275,Steel,52.94,15,850,674984.9999999999,12,539988.0,134996.99999999988
P057,28,Wall,42,5,46,Steel,82.77,12,850,844254.0,9,633190.5,211063.5
P031,1,Beam,189,6,192,Steel,71.5,12,850,729300.0,10,607750.0,121550.0
P006,2,Wall,260,5,258,Aluminum,66.85,24,1100,1764839.9999999998,18,1323630.0,441209.99999999977
P091,17,Beam,152,8,151,Steel,31.54,15,850,402135.0,10,268090.0,134045.0
P040,21,Slab,131,5,130,Timber,45.43,11,600,299838.0,9,245322.0,54516.0
P098,9,Column,114,9,112,Steel,26.27,15,850,334942.5,14,312613.0,22329.5
P012,13,Wall,222,4,222,Steel,55.8,22,850,1043459.9999999999,14,664020.0,379439.9999999999
