project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day,formwork_type,area_sqm,quantity,cost_per_sqm,total_cost
P097,32,Column,285,6,284,Timber,76.66,8,600,367968.0
P092,34,Beam,38,8,40,Aluminum,48.63,22,1100,1176846.0000000002
P008,7,Slab,197,6,202,Timber,95.75,17,600,976650.0
P034,10,Beam,280,4,278,Timber,75.48,5,600,226440.00000000003
P035,17,Slab,275,8,274,Steel,44.17,24,850,901067.9999999999
P096,30,Column,174,9,178,Timber,19.2,14,600,161280.0
P088,21,Slab,305,3,310,Timber,54.43,5,600,163290.0
P078,13,Wall,44,6,42,Steel,55.35,6,850,282285.0
P032,1,Wall,154,7,152,Aluminum,59.55,13,1100,851565.0
P046,1,Beam,153,3,153,Timber,71.42,5,600,214260.0
P016,33,Column,291,7,291,Steel,33.79,19,850,545708.5
P068,25,Column,142,6,145,Aluminum,10.22,19,1100,213598.0
P037,26,Beam,256,4,254,Aluminum,83.16,6,1100,548856.0
P054,13,Wall,312,9,312,Timber,84.12,16,600,807552.0
P085,28,Slab,134,9,138,Aluminum,92.05,22,1100,2227610.0
P014,33,Beam,32,3,37,Timber,97.21,14,600,816563.9999999999
P095,30,Slab,26,3,29,Aluminum,24.33,17,1100,454970.99999999994
P055,8,Slab,255,6,254,Aluminum,41.85,13,1100,598455.0000000001
P048,1,Column,223,9,221,Aluminum,86.62,7,1100,666974.0
P082,12,Wall,56,9,56,Timber,94.06,12,600,677232.0
P007,5,Slab,293,8,292,Aluminum,11.31,18,1100,223938.0
P074,24,Wall,125,6,123,Steel,44.88,20,850,762960.0
P007,6,Column,230,6,233,Steel,20.2,10,850,171700.0
P033,25,Beam,53,9,51,Aluminum,80.96,13,1100,1157728.0
P023,1,Beam,101,5,101,Timber,77.24,8,600,370752.0
P085,25,Column,334,4,333,Steel,77.89,23,850,1522749.5
P019,1,Column,292,8,290,Aluminum,45.12,19,1100,943008.0
P019,32,Slab,357,4,355,Steel,46.56,15,850,593640.0000000001
P036,3,Column,267,9,271,Steel,33.57,14,850,399483.0
P029,19,Beam,283,6,286,Steel,42.48,12,850,433296.0
P060,29,Wall,2,5,4,Steel,98.48,7,850,585956.0
P082,2,Wall,22,9,20,Steel,14.19,23,850,277414.5
P002,9,Wall,66,6,68,Aluminum,39.16,8,1100,344607.99999999994
P001,17,Wall,212,6,214,Steel,81.09,17,850,1171750.5
P047,17,Column,236,4,235,Aluminum,44.41,13,1100,635062.9999999999
P069,12,Column,17,9,18,Steel,95.5,24,850,1948200.0
P020,20,Wall,14,5,17,Timber,39.89,17,600,406878.0
P011,3,Column,7,4,9,Aluminum,86.48,13,1100,1236664.0
P002,4,Slab,335,6,334,Timber,83.36,24,600,1200384.0
P067,17,Column,222,7,225,Timber,10.83,23,600,149454.0
P087,15,Slab,104,3,108,Steel,46.27,20,850,786590.0000000001
P012,33,Slab,1,9,1,Steel,35.26,22,850,659361.9999999999
P020,16,Column,287,8,289,Steel,53.16,23,850,1039277.9999999999
P005,11,Wall,247,6,248,Steel,51.65,21,850,921952.4999999999
P037,20,Slab,91,8,91,Steel,91.5,16,850,1244400.0
P038,24,Column,314,5,317,Timber,26.52,15,600,238680.0
P094,16,Beam,312,9,314,Timber,26.4,21,600,332640.0
P009,30,Wall,214,7,219,Steel,19.73,10,850,167705.0
P098,34,Beam,43,8,47,Steel,76.48,19,850,1235152.0
P053,1,Slab,74,9,76,Aluminum,92.61,6,1100,611226.0
P044,24,Beam,242,8,243,Aluminum,43.17,18,1100,854766.0000000001
P099,24,Column,49,5,47,Timber,15.56,7,600,65352.0
P086,9,Wall,364,6,365,Timber,24.04,16,600,230784.0
P024,22,Slab,316,6,320,Timber,19.21,10,600,115260.00000000001
P081,12,Column,222,3,221,Steel,63.31,9,850,484321.49999999994
P074,17,Wall,350,5,349,Timber,35.41,11,600,233706.0
P030,25,Slab,144,7,148,Timber,90.77,10,600,544620.0
P059,28,Slab,329,3,333,Timber,24.61,23,600,339618.0
P087,15,Slab,209,9,213,Aluminum,93.71,18,1100,1855458.0
P096,30,Slab,99,5,100,Timber,39.95,22,600,527340.0
P081,27,Beam,188,6,189,Timber,88.06,18,600,951048.0
P081,22,Beam,114,3,119,Aluminum,95.41,12,1100,1259412.0
P014,10,Beam,175,6,180,Timber,98.77,18,600,1066716.0
P009,31,Slab,271,4,272,Steel,82.32,23,850,1609356.0
