project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day
P097,32,Column,285,6,284
P092,34,Beam,38,8,40
P008,7,Slab,197,6,202
P034,10,Beam,280,4,278
P035,17,Slab,275,8,274
P096,30,Column,174,9,178
P088,21,Slab,305,3,310
P078,13,Wall,44,6,42
P032,1,Wall,154,7,152
P046,1,Beam,153,3,153
P016,33,Column,291,7,291
P068,25,Column,142,6,145
P037,26,Beam,256,4,254
P054,13,Wall,312,9,312
P085,28,Slab,134,9,138
P014,33,Beam,32,3,37
P095,30,Slab,26,3,29
P055,8,Slab,255,6,254
P048,1,Column,223,9,221
P082,12,Wall,56,9,56
P007,5,Slab,293,8,292
P074,24,Wall,125,6,123
P007,6,Column,230,6,233
P033,25,Beam,53,9,51
P023,1,Beam,101,5,101
P085,25,Column,334,4,333
P019,1,Column,292,8,290
P019,32,Slab,357,4,355
P036,3,Column,267,9,271
P029,19,Beam,283,6,286
P060,29,Wall,2,5,4
P082,2,Wall,22,9,20
P002,9,Wall,66,6,68
P001,17,Wall,212,6,214
P047,17,Column,236,4,235
P069,12,Column,17,9,18
P020,20,Wall,14,5,17
P011,3,Column,7,4,9
P002,4,Slab,335,6,334
P067,17,Column,222,7,225
P087,15,Slab,104,3,108
P012,33,Slab,1,9,1
P020,16,Column,287,8,289
P005,11,Wall,247,6,248
P037,20,Slab,91,8,91
P038,24,Column,314,5,317
P094,16,Beam,312,9,314
P009,30,Wall,214,7,219
P098,34,Beam,43,8,47
P053,1,Slab,74,9,76
P044,24,Beam,242,8,243
P099,24,Column,49,5,47
P086,9,Wall,364,6,365
P024,22,Slab,316,6,320
P081,12,Column,222,3,221
P074,17,Wall,350,5,349
P030,25,Slab,144,7,148
P059,28,Slab,329,3,333
P087,15,Slab,209,9,213
P096,30,Slab,99,5,100
P081,27,Beam,188,6,189
P081,22,Beam,114,3,119
P014,10,Beam,175,6,180
P009,31,Slab,271,4,272
P040,27,Beam,63,4,68
P066,12,Wall,284,3,285
P025,31,Slab,225,3,229
P073,32,Wall,161,5,162
P022,32,Wall,36,9,38
P004,21,Beam,141,7,146
P026,10,Slab,318,7,321
P058,16,Beam,196,4,199
P029,7,Beam,151,4,151
P098,4,Beam,269,4,268
P087,27,Slab,344,6,343
P037,25,Slab,40,7,43
P075,31,Beam,238,3,242
P070,11,Wall,222,4,226
P018,20,Wall,281,8,286
P085,17,Slab,225,5,228
P042,11,Column,154,9,159
P100,30,Beam,280,3,280
P041,22,Beam,353,9,358
P038,27,Column,39,3,40
P034,4,Slab,217,3,220
P017,16,Wall,244,7,248
P037,16,Slab,109,4,112
P025,21,Wall,61,5,66
P076,26,Wall,198,9,198
P087,19,Slab,276,6,277
P086,17,Beam,172,5,177
P085,26,Beam,272,5,271
P027,22,Beam,271,8,275
P057,28,Wall,42,5,46
P031,1,Beam,189,6,192
P006,2,Wall,260,5,258
P091,17,Beam,152,8,151
P040,21,Slab,131,5,130
P098,9,Column,114,9,112
P012,13,Wall,222,4,222
P053,11,Slab,54,8,56
P071,16,Wall,338,4,339
P010,16,Wall,296,4,297
P045,2,Slab,42,3,41
P017,8,Beam,93,8,98
P026,13,Wall,260,5,258
P085,17,Column,281,9,286
P092,24,Column,356,9,360
P062,3,Slab,192,9,191
P046,30,Column,125,7,124
P064,13,Slab,296,7,300
P002,19,Slab,348,7,352
P054,7,Wall,341,9,344
P065,9,Slab,35,6,35
P051,19,Slab,47,9,52
P053,22,Beam,153,4,158
P036,18,Wall,238,4,243
P026,23,Column,5,9,6
P029,2,Beam,125,4,127
P021,11,Beam,328,8,326
P011,31,Wall,87,6,89
P040,33,Wall,3,5,1
P011,14,Beam,165,3,166
P036,16,Wall,223,9,228
P059,11,Wall,349,9,349
P039,33,Slab,297,8,299
P099,7,Wall,343,4,341
P054,31,Slab,341,5,340
P098,14,Beam,25,7,29
P055,28,Beam,39,9,40
P024,16,Column,105,3,105
P022,19,Wall,5,7,9
P069,17,Beam,136,9,139
P056,26,Slab,4,5,3
P033,6,Beam,169,5,169
P036,9,Wall,316,7,314
P020,17,Column,310,8,315
P083,31,Column,78,3,77
P099,12,Beam,19,7,22
P081,23,Column,205,7,210
P062,5,Wall,355,8,358
P098,3,Wall,324,7,324
P073,24,Column,33,3,34
P026,17,Slab,150,6,152
P066,26,Column,193,3,196
P073,4,Column,139,8,142
P073,12,Beam,272,7,276
P040,1,Slab,196,4,198
P017,21,Column,127,4,126
P001,19,Beam,349,5,350
P089,21,Beam,231,6,232
P061,18,Beam,44,9,48
P043,3,Wall,230,9,230
P042,32,Beam,216,8,215
P025,10,Beam,244,5,248
P039,15,Wall,9,9,10
P035,5,Wall,250,5,250
P003,4,Beam,200,4,201
P044,28,Column,334,3,333
P051,4,Slab,79,5,80
P094,15,Wall,245,5,249
P098,17,Slab,190,9,191
P012,3,Wall,86,6,87
P019,10,Beam,271,9,273
P044,23,Wall,262,4,260
P059,18,Beam,1,3,0
P049,1,Slab,20,6,25
P061,31,Column,130,3,135
P017,1,Beam,326,9,331
P074,3,Slab,258,3,260
P057,3,Slab,131,5,136
P055,19,Wall,7,6,5
P047,29,Beam,340,5,343
P012,25,Slab,241,7,242
P062,33,Column,192,3,193
P080,29,Wall,310,6,314
P088,26,Wall,297,4,299
P083,4,Slab,115,5,115
P008,14,Beam,102,7,101
P095,27,Wall,338,8,336
P021,33,Beam,319,7,324
P081,22,Slab,1,7,2
P087,3,Slab,25,5,30
P080,23,Beam,209,4,214
P070,21,Column,143,9,142
P072,23,Wall,197,6,198
P025,4,Slab,145,3,146
P082,21,Column,149,4,150
P089,31,Column,181,5,185
P012,21,Beam,55,8,54
P015,26,Beam,363,6,365
P059,24,Beam,138,3,137
P026,11,Column,209,8,208
P026,29,Wall,185,6,188
P047,3,Beam,65,3,70
P032,1,Wall,37,9,37
P010,19,Beam,112,3,116
P016,22,Column,263,7,263
P071,14,Wall,76,8,80
P017,14,Wall,296,8,298
P023,16,Column,178,5,178
P026,33,Wall,254,4,259
P085,13,Column,1,9,6
P086,12,Column,148,7,152
P007,33,Slab,364,7,366
P014,33,Beam,159,6,163
P079,29,Slab,324,8,325
P007,5,Column,268,3,269
P009,6,Column,150,3,155
P048,31,Wall,129,9,128
P072,16,Column,126,6,127
P059,31,Column,1,8,1
P087,25,Column,117,5,122
P093,33,Beam,149,3,147
P082,13,Slab,269,7,268
P095,10,Slab,189,7,191
P094,24,Beam,141,8,142
P039,10,Beam,105,3,104
P099,31,Beam,252,3,251
P018,13,Slab,281,5,280
P059,3,Slab,344,8,345
P017,34,Column,101,3,103
P014,28,Slab,282,5,287
P031,19,Wall,358,7,357
P024,23,Slab,163,5,168
P099,32,Beam,203,3,202
P060,13,Slab,100,4,99
P045,33,Column,281,8,284
P098,34,Slab,257,9,262
P003,33,Beam,94,3,95
P037,5,Wall,324,4,327
P043,3,Beam,279,7,279
P040,7,Wall,227,8,229
P090,24,Column,362,9,361
P055,22,Column,150,6,153
P087,23,Slab,351,8,350
P039,30,Column,62,7,65
P015,18,Column,129,7,128
P004,32,Beam,187,7,191
P093,7,Beam,68,5,69
P086,33,Slab,30,9,30
P025,5,Slab,304,7,303
P013,28,Slab,275,6,278
P082,8,Slab,127,3,126
P033,15,Beam,213,4,214
P016,4,Slab,306,8,308
P042,34,Slab,134,8,136
P066,5,Column,219,7,219
P055,33,Slab,319,4,323
P099,5,Wall,157,7,159
